
int	   end	   flow		cost
58	4065	935.980000	0.032500;	
59	2462	624.750000	0.032500;	
60	4100	572.970000	0.075000;	
61	10352	165.870000	0.032500;	
62	7517	173.680000	0.032500;	
63	9339	489.100000	0.032500;	
64	10353	339.920000	0.032500;	
65	10354	1219.660000	0.037500;	
66	9912	891.340000	0.037500;	
67	4726	105.360000	0.030000;	
68	9340	130.770000	0.030000;	
69	2547	634.040000	0.030000;	
70	2548	619.680000	0.030000;	
71	10357	1261.430000	0.032500;	
72	9918	450.960000	0.040000;	
73	10355	208.760000	0.032500;	
74	2645	862.110000	0.032500;	
75	2683	2041.330000	0.032500;	
76	2702	1117.610000	0.032500;	
77	4363	1081.310000	0.035000;	
78	2485	761.350000	0.040000;	
79	4738	269.230000	0.030000;	
80	2650	630.220000	0.030000;	
81	4414	2490.860000	0.030000;	
82	10361	2209.200000	0.030000;	
83	10362	755.140000	0.032500;	
84	4474	672.450000	0.047500;	
85	4324	88.250000	0.032500;	
86	2675	715.560000	0.032500;	
87	4505	683.320000	0.032500;	
88	2780	639.790000	0.032500;	
89	4530	609.210000	0.035000;	
90	4336	38.080000	0.030000;	
91	4344	146.760000	0.032500;	
92	4513	101.510000	0.032500;	
93	9345	387.110000	0.030000;	
94	10365	184.300000	0.032500;	
95	4544	122.730000	0.050000;	
96	4338	35.680000	0.032500;	
97	4642	31.190000	0.032500;	
98	10364	0.690000	0.032500;	
99	2500	64.740000	0.032500;	
100	2514	166.760000	0.035000;	
101	2426	674.210000	0.062500;	
102	6438	419.590000	0.062500;	
103	2556	650.210000	0.062500;	
104	10348	1758.100000	0.062500;	
105	6629	1052.780000	0.042500;	
106	6759	626.230000	0.062500;	
107	10347	191.800000	0.062500;	
108	2555	925.550000	0.062500;	
109	8842	1561.480000	0.062500;	
110	10349	3871.490000	0.070000;	
111	10351	707.560000	0.062500;	
112	6763	489.850000	0.062500;	
113	6918	425.680000	0.062500;	
114	12840	615.400000	0.062500;	
115	4328	484.890000	0.062500;	
116	6933	829.470000	0.062500;	
117	4329	846.970000	0.062500;	
118	7025	475.060000	0.062500;	
119	7029	305.940000	0.062500;	
120	7032	427.660000	0.062500;	
121	10368	518.850000	0.062500;	
122	9232	22.550000	0.062500;	
123	9237	319.110000	0.062500;	
124	4362	1.470000	0.085000;	
125	7470	839.010000	0.062500;	
126	2029	598.340000	0.062500;	
127	8053	270.810000	0.062500;	
128	7518	471.560000	0.062500;	
129	2552	420.980000	0.070000;	
130	10346	3048.400000	0.125000;	
131	10350	1987.270000	0.125000;	
132	10358	1539.250000	0.127500;	
133	10366	2226.290000	0.125000;	
134	10370	1170.120000	0.125000;	
135	10371	1027.900000	0.125000;	
136	10372	2543.730000	0.125000;	
137	10373	1535.580000	0.117500;	
138	10374	1836.220000	0.125000;	
139	10375	2100.660000	0.127500;	
140	10376	1941.940000	0.127500;	
141	10377	2413.700000	0.137500;	
142	10378	1149.560000	0.125000;	
143	10379	1338.210000	0.125000;	
144	10380	1403.900000	0.125000;	
145	10381	1609.680000	0.125000;	
146	10382	562.660000	0.100000;	
147	10383	2177.570000	0.125000;	
148	10384	1747.900000	0.127500;	
149	10385	1228.810000	0.127500;	
150	10386	1453.410000	0.125000;	
151	10387	3189.300000	0.140000;	
152	10388	1522.280000	0.125000;	
153	10389	1836.420000	0.125000;	
154	10390	1048.540000	0.125000;	
155	10391	1698.570000	0.125000;	
156	10392	1355.140000	0.127500;	
157	10393	357.610000	0.092500;	
158	10394	1931.020000	0.125000;	
159	10395	1835.870000	0.125000;	
160	10396	1272.610000	0.125000;	
161	10397	1633.970000	0.125000;	
162	10398	861.470000	0.125000;	
163	10399	1403.940000	0.117500;	
164	10400	1545.390000	0.125000;	
165	10401	2128.070000	0.125000;	
166	10402	1203.740000	0.125000;	
167	10403	1998.270000	0.125000;	
168	10404	1121.480000	0.127500;	
169	10405	1639.630000	0.125000;	
170	10406	1533.940000	0.125000;	
171	10407	1613.600000	0.125000;	
172	10408	779.900000	0.122500;	
173	10409	1559.800000	0.127500;	
174	10410	1677.970000	0.125000;	
175	10411	1354.470000	0.125000;	
176	10412	731.440000	0.127500;	
177	10413	1282.550000	0.125000;	
178	10414	1040.140000	0.125000;	
179	10415	1001.390000	0.127500;	
180	10416	1084.410000	0.125000;	
181	10417	1174.620000	0.125000;	
182	10418	722.900000	0.125000;	
183	10419	812.050000	0.125000;	
184	10420	1024.490000	0.125000;	
185	10421	676.250000	0.125000;	
186	10422	782.650000	0.125000;	
187	10423	916.200000	0.145000;	
188	10424	786.650000	0.125000;	
189	10425	747.980000	0.125000;	
190	10426	1125.850000	0.125000;	
191	10427	1157.010000	0.125000;	
192	10428	82.490000	0.142500;	
193	10429	209.390000	0.145000;	
194	10430	600.290000	0.125000;	
195	10431	1022.870000	0.125000;	
196	10432	1124.590000	0.125000;	
197	10433	1045.820000	0.142500;	
198	10434	5.600000	0.140000;	
199	10435	23.990000	0.125000;	
200	10436	642.960000	0.125000;	
201	10437	671.250000	0.127500;	
202	10438	1084.670000	0.140000;	
203	10439	264.000000	0.140000;	
204	10440	22.400000	0.125000;	
205	10441	604.990000	0.125000;	
206	10442	661.190000	0.125000;	
207	10443	434.050000	0.140000;	
208	10444	1152.170000	0.140000;	
209	10445	594.460000	0.125000;	
210	10446	123.980000	0.125000;	
211	10447	3.290000	0.125000;	
212	10448	578.850000	0.140000;	
213	10449	198.930000	0.140000;	
214	10450	850.120000	0.125000;	
215	10451	616.490000	0.127500;	
216	10452	499.660000	0.127500;	
217	10453	464.030000	0.125000;	
218	10454	611.840000	0.140000;	
219	10455	575.900000	0.125000;	
220	10456	507.370000	0.125000;	
221	10457	489.530000	0.125000;	
222	10458	919.100000	0.125000;	
223	10459	1211.550000	0.125000;	
224	10460	668.460000	0.125000;	
225	10461	793.470000	0.125000;	
226	10462	375.490000	0.125000;	
227	10463	464.710000	0.125000;	
228	10464	648.010000	0.125000;	
229	10465	219.670000	0.125000;	
230	10466	374.040000	0.125000;	
231	10467	547.290000	0.125000;	
232	10468	553.410000	0.125000;	
233	10469	514.940000	0.125000;	
234	10470	528.200000	0.125000;	
235	10471	624.230000	0.125000;	
236	10472	389.080000	0.125000;	
237	10473	340.210000	0.125000;	
238	10474	180.090000	0.127500;	
239	10475	349.250000	0.125000;	
240	10476	193.710000	0.125000;	
241	10477	544.960000	0.125000;	
242	10478	515.290000	0.125000;	
243	10479	526.270000	0.125000;	
244	10480	235.680000	0.127500;	
245	10481	140.940000	0.125000;	
246	10482	24.110000	0.125000;	
247	10483	531.530000	0.125000;	
248	10484	510.630000	0.127500;	
249	10485	634.370000	0.127500;	
250	10486	937.400000	0.252500;	
251	10487	509.800000	0.252500;	
252	10488	105.950000	0.127500;	
253	10489	541.880000	0.125000;	
254	10490	369.780000	0.125000;	
255	10491	577.370000	0.125000;	
256	10807	239.260000	0.127500;	
257	10813	34.330000	0.125000;	
258	10493	988.440000	0.250000;	
259	10494	810.530000	0.125000;	
260	10495	750.650000	0.125000;	
261	10492	719.990000	0.127500;	
262	10812	446.340000	0.125000;	
263	10496	2037.490000	0.252500;	
264	10497	1031.060000	0.250000;	
265	10498	825.060000	0.252500;	
266	10499	190.220000	0.117500;	
267	10500	389.800000	0.125000;	
268	11189	103.470000	0.090000;	
269	10501	264.970000	0.125000;	
270	10502	460.010000	0.137500;	
271	10503	376.930000	0.125000;	
272	10504	522.200000	0.125000;	
273	10505	336.040000	0.117500;	
274	10506	329.220000	0.125000;	
275	10507	311.940000	0.125000;	
276	10508	570.200000	0.125000;	
277	10509	516.500000	0.122500;	
278	10510	730.670000	0.125000;	
279	10511	597.060000	0.125000;	
280	10512	826.010000	0.125000;	
281	10513	1022.500000	0.122500;	
282	10514	462.990000	0.115000;	
283	10515	528.290000	0.107500;	
284	10516	25.100000	0.102500;	
285	10517	844.100000	0.102500;	
286	10518	398.780000	0.100000;	
287	10519	526.520000	0.100000;	
288	10520	460.460000	0.095000;	
289	10521	827.850000	0.127500;	
290	10522	440.280000	0.125000;	
291	10523	1436.360000	0.125000;	
292	10524	1280.500000	0.125000;	
293	10525	739.980000	0.125000;	
294	10526	1018.890000	0.122500;	
295	10527	1008.440000	0.127500;	
296	10528	1146.430000	0.125000;	
297	10529	1565.610000	0.125000;	
298	10530	1035.720000	0.125000;	
299	10531	1350.640000	0.125000;	
300	10532	1173.880000	0.122500;	
301	10533	1297.680000	0.127500;	
302	10534	1654.490000	0.125000;	
303	10535	1537.610000	0.125000;	
304	10536	1050.410000	0.125000;	
305	10537	1087.550000	0.125000;	
306	10538	1341.240000	0.122500;	
307	10539	513.770000	0.127500;	
308	10540	696.570000	0.125000;	
309	10541	775.020000	0.125000;	
310	10542	805.080000	0.125000;	
311	10543	1270.710000	0.125000;	
312	10544	2273.430000	0.125000;	
313	10545	958.150000	0.125000;	
314	10546	1164.120000	0.122500;	
315	10547	678.000000	0.127500;	
316	10548	1405.830000	0.125000;	
317	10549	1444.750000	0.125000;	
318	10550	2685.450000	0.125000;	
319	10551	1367.890000	0.125000;	
320	10552	1388.440000	0.127500;	
321	10553	1425.890000	0.127500;	
322	10554	992.550000	0.125000;	
323	10555	2379.080000	0.125000;	
324	10556	2769.650000	0.125000;	
325	10557	1296.750000	0.132500;	
326	10558	1728.410000	0.132500;	
327	10559	1658.760000	0.130000;	
328	10560	1783.310000	0.125000;	
329	10561	3434.240000	0.125000;	
330	10562	2827.680000	0.125000;	
331	10563	1380.310000	0.130000;	
332	10564	1679.340000	0.127500;	
333	10565	2089.300000	0.127500;	
334	10566	1960.370000	0.125000;	
335	10567	2325.540000	0.125000;	
336	10568	2296.430000	0.125000;	
337	10569	1816.650000	0.130000;	
338	10570	1724.870000	0.125000;	
339	10571	2491.870000	0.127500;	
340	10572	2458.640000	0.125000;	
341	10573	3831.430000	0.125000;	
342	10574	2617.500000	0.125000;	
343	10575	1442.050000	0.130000;	
344	10576	1837.760000	0.127500;	
345	10577	1646.780000	0.127500;	
346	10578	2324.370000	0.127500;	
347	10579	2913.530000	0.127500;	
348	10580	3104.900000	0.127500;	
349	10581	1037.120000	0.130000;	
350	10582	1900.320000	0.125000;	
351	10583	2609.490000	0.127500;	
352	10584	2110.350000	0.125000;	
353	10585	2721.420000	0.125000;	
354	10586	2168.020000	0.125000;	
355	10587	2118.960000	0.127500;	
356	10588	2178.570000	0.127500;	
357	10589	2205.520000	0.127500;	
358	10590	1674.080000	0.127500;	
359	10591	1263.580000	0.125000;	
360	10592	1177.630000	0.125000;	
361	10593	1691.330000	0.127500;	
362	10594	1595.720000	0.127500;	
363	10595	1925.560000	0.127500;	
364	10596	1761.650000	0.127500;	
365	10597	2512.990000	0.125000;	
366	10598	1533.730000	0.127500;	
367	10599	1933.160000	0.127500;	
368	10600	2172.730000	0.127500;	
369	10601	2162.670000	0.127500;	
370	10602	1629.010000	0.125000;	
371	10603	2176.470000	0.125000;	
372	10604	1559.200000	0.125000;	
373	10605	1150.980000	0.127500;	
374	10606	1274.090000	0.127500;	
375	10607	1432.020000	0.127500;	
376	10608	1737.950000	0.125000;	
377	10609	3732.250000	0.125000;	
378	10610	2191.970000	0.125000;	
379	10611	1303.600000	0.127500;	
380	10612	1115.220000	0.127500;	
381	10613	919.340000	0.127500;	
382	10614	427.760000	0.125000;	
383	10615	809.590000	0.127500;	
384	10616	1181.770000	0.127500;	
385	10617	682.450000	0.127500;	
386	10618	12.140000	0.125000;	
387	10619	1016.380000	0.125000;	
388	10620	1176.730000	0.125000;	
389	10621	1210.420000	0.125000;	
390	10622	2567.680000	0.125000;	
391	10623	750.820000	0.127500;	
392	10624	1401.570000	0.125000;	
393	10625	1330.430000	0.125000;	
394	10626	1541.730000	0.127500;	
395	10627	1454.690000	0.127500;	
396	10628	1725.410000	0.125000;	
397	10629	1400.080000	0.127500;	
398	10630	1569.240000	0.127500;	
399	10631	887.810000	0.127500;	
400	10632	1739.170000	0.125000;	
401	10633	1741.180000	0.125000;	
402	10634	2392.380000	0.125000;	
403	10635	1240.740000	0.125000;	
404	10636	1064.850000	0.125000;	
405	10637	731.000000	0.125000;	
406	10638	1311.830000	0.125000;	
407	10639	1337.340000	0.125000;	
408	10640	1804.020000	0.125000;	
409	10641	944.340000	0.127500;	
410	10642	1042.090000	0.125000;	
411	10643	1230.800000	0.125000;	
412	10644	1347.030000	0.127500;	
413	10645	1851.550000	0.125000;	
414	10646	1017.240000	0.125000;	
415	10647	808.920000	0.125000;	
416	10648	797.420000	0.125000;	
417	10649	746.460000	0.125000;	
418	10650	1250.340000	0.125000;	
419	10651	889.390000	0.125000;	
420	10652	888.550000	0.125000;	
421	10653	858.750000	0.122500;	
422	10654	957.910000	0.125000;	
423	10655	901.170000	0.125000;	
424	10656	1137.040000	0.125000;	
425	10657	527.630000	0.125000;	
426	10658	678.220000	0.127500;	
427	10659	1286.440000	0.122500;	
428	10660	689.580000	0.127500;	
429	10661	824.150000	0.125000;	
430	10662	1472.210000	0.125000;	
431	10663	777.860000	0.125000;	
432	10664	1335.570000	0.127500;	
433	10665	1119.840000	0.122500;	
434	10666	1254.230000	0.125000;	
435	10667	752.650000	0.125000;	
436	10668	1207.730000	0.125000;	
437	10669	1109.960000	0.125000;	
438	10670	831.460000	0.127500;	
439	10671	473.230000	0.125000;	
440	10672	226.660000	0.127500;	
441	10673	352.340000	0.125000;	
442	10674	594.630000	0.125000;	
443	10675	883.350000	0.127500;	
444	10676	658.220000	0.127500;	
445	10677	421.890000	0.125000;	
446	10678	398.680000	0.127500;	
447	10679	681.200000	0.127500;	
448	10680	523.490000	0.125000;	
449	10681	803.240000	0.125000;	
450	10682	508.520000	0.127500;	
451	10683	354.630000	0.122500;	
452	10684	300.410000	0.125000;	
453	10685	537.280000	0.125000;	
454	10686	399.950000	0.125000;	
455	10687	353.290000	0.125000;	
456	10688	666.080000	0.125000;	
457	10689	0.000000	0.122500;	
458	10690	21.480000	0.125000;	
459	10691	668.700000	0.125000;	
460	10692	446.210000	0.127500;	
461	10693	352.330000	0.125000;	
462	10694	209.180000	0.125000;	
463	10695	37.750000	0.122500;	
464	10696	197.510000	0.125000;	
465	10697	496.690000	0.125000;	
466	10698	705.550000	0.127500;	
467	10699	514.110000	0.125000;	
468	10700	628.360000	0.140000;	
469	10701	486.660000	0.122500;	
470	10702	998.320000	0.127500;	
471	10703	449.560000	0.125000;	
472	10704	154.220000	0.127500;	
473	10705	391.600000	0.137500;	
474	10706	114.220000	0.137500;	
475	10707	691.060000	0.122500;	
476	10708	81.210000	0.125000;	
477	10709	299.460000	0.125000;	
478	10710	384.240000	0.135000;	
479	10711	322.750000	0.135000;	
480	10712	364.960000	0.125000;	
481	10713	713.010000	0.122500;	
482	10714	565.010000	0.125000;	
483	10715	391.890000	0.135000;	
484	10716	60.380000	0.135000;	
485	10717	445.400000	0.125000;	
486	10718	291.630000	0.125000;	
487	10719	425.680000	0.122500;	
488	10720	45.530000	0.135000;	
489	10721	26.650000	0.132500;	
490	10722	565.330000	0.125000;	
491	10723	580.720000	0.125000;	
492	10724	431.450000	0.125000;	
493	10725	7.540000	0.260000;	
494	10726	725.050000	0.250000;	
495	10727	283.510000	0.125000;	
496	10728	450.280000	0.125000;	
497	10729	136.960000	0.125000;	
498	10730	501.640000	0.125000;	
499	10731	562.970000	0.250000;	
500	2308	41.670000	0.125000;	
501	1914	92.260000	0.125000;	
502	10733	215.300000	0.125000;	
503	10734	150.890000	0.125000;	
504	2359	343.330000	0.122500;	
505	10732	989.080000	0.125000;	
506	10735	344.950000	0.125000;	
507	10736	535.250000	0.125000;	
508	10737	328.220000	0.125000;	
509	10738	0.000000	0.125000;	
510	10739	46.980000	0.125000;	
511	10740	348.120000	0.127500;	
512	10741	521.700000	0.125000;	
513	10742	560.410000	0.125000;	
514	10743	4.900000	0.127500;	
515	10744	9.960000	0.127500;	
516	10745	438.910000	0.125000;	
517	10746	249.430000	0.127500;	
518	10747	567.890000	0.127500;	
519	10748	835.440000	0.127500;	
520	10918	625.320000	0.125000;	
521	10925	1192.610000	0.125000;	
522	10750	473.270000	0.125000;	
523	10751	744.470000	0.125000;	
524	10752	696.450000	0.125000;	
525	10753	102.390000	0.125000;	
526	10749	527.510000	0.125000;	
527	10919	594.530000	0.125000;	
528	10754	564.640000	0.125000;	
529	10755	705.620000	0.125000;	
530	10756	234.540000	0.125000;	
531	10757	430.690000	0.125000;	
532	11190	633.090000	0.125000;	
533	11192	530.960000	0.125000;	
534	10759	393.400000	0.125000;	
535	10760	376.350000	0.125000;	
536	10761	51.290000	0.125000;	
537	10762	131.150000	0.125000;	
538	10758	168.990000	0.127500;	
539	11191	378.200000	0.125000;	
540	10763	646.910000	0.125000;	
541	10764	308.710000	0.125000;	
542	10765	284.660000	0.125000;	
543	10766	310.350000	0.127500;	
544	10767	1833.720000	0.250000;	
545	10768	721.400000	0.125000;	
546	10769	152.340000	0.125000;	
547	10770	839.910000	0.125000;	
548	10771	262.760000	0.125000;	
549	10772	549.430000	0.125000;	
550	10773	337.370000	0.125000;	
551	10774	748.030000	0.125000;	
552	10775	179.370000	0.125000;	
553	10776	794.600000	0.115000;	
554	10777	181.010000	0.117500;	
555	10778	472.480000	0.117500;	
556	10779	892.610000	0.112500;	
557	10780	687.320000	0.110000;	
558	10781	589.080000	0.107500;	
559	10782	760.780000	0.117500;	
560	10783	1164.810000	0.125000;	
561	10784	609.300000	0.127500;	
562	10785	1890.240000	0.125000;	
563	10786	1580.570000	0.125000;	
564	10787	1009.110000	0.125000;	
565	10788	649.310000	0.115000;	
566	10789	1326.010000	0.125000;	
567	10790	383.970000	0.127500;	
568	10791	692.760000	0.125000;	
569	10792	570.610000	0.125000;	
570	10793	1045.390000	0.125000;	
571	10794	883.120000	0.115000;	
572	10795	1385.960000	0.125000;	
573	10796	890.290000	0.125000;	
574	10797	762.170000	0.125000;	
575	10798	714.790000	0.125000;	
576	10799	1041.930000	0.125000;	
577	10800	104.800000	0.117500;	
578	10801	746.070000	0.125000;	
579	10802	979.360000	0.125000;	
580	10803	561.240000	0.125000;	
581	10804	808.500000	0.125000;	
582	10805	1236.660000	0.127500;	
583	10283	0.000000	0.212500;	
584	10806	4214.730000	0.110000;	
585	10808	349.120000	0.127500;	
586	10809	470.140000	0.130000;	
587	10810	1778.000000	0.130000;	
588	10811	1008.820000	0.130000;	
589	10814	641.910000	0.125000;	
590	10815	782.950000	0.127500;	
591	10816	2417.890000	0.125000;	
592	10817	1419.780000	0.125000;	
593	10818	2.930000	0.110000;	
594	10819	270.910000	0.125000;	
595	10820	476.050000	0.125000;	
596	10821	617.860000	0.127500;	
597	10822	825.970000	0.127500;	
598	10823	1726.820000	0.125000;	
599	10824	991.730000	0.112500;	
600	10825	500.840000	0.125000;	
601	10826	1233.590000	0.125000;	
602	10827	1414.300000	0.125000;	
603	10828	689.000000	0.125000;	
604	10829	1346.160000	0.127500;	
605	10830	519.290000	0.115000;	
606	10831	1264.360000	0.125000;	
607	10832	1058.960000	0.125000;	
608	10833	1299.030000	0.125000;	
609	10834	927.770000	0.125000;	
610	10835	1675.850000	0.125000;	
611	10836	1456.900000	0.117500;	
612	10837	857.450000	0.125000;	
613	10838	1252.320000	0.125000;	
614	10839	2141.980000	0.125000;	
615	10840	175.050000	0.127500;	
616	10841	1228.160000	0.127500;	
617	10842	665.930000	0.115000;	
618	10843	804.460000	0.127500;	
619	10844	1019.420000	0.125000;	
620	10845	1497.470000	0.127500;	
621	10846	513.110000	0.127500;	
622	10847	728.260000	0.125000;	
623	10848	769.580000	0.122500;	
624	10849	1251.200000	0.127500;	
625	10850	1147.470000	0.127500;	
626	10851	1241.290000	0.127500;	
627	10852	574.750000	0.127500;	
628	10853	1439.740000	0.127500;	
629	10854	276.160000	0.120000;	
630	10855	949.000000	0.127500;	
631	10856	1584.960000	0.125000;	
632	10857	1413.020000	0.125000;	
633	10858	1086.690000	0.125000;	
634	10859	1645.050000	0.125000;	
635	10860	79.950000	0.120000;	
636	10861	800.660000	0.125000;	
637	10862	1142.350000	0.125000;	
638	10863	1138.850000	0.127500;	
639	10864	106.740000	0.125000;	
640	10865	401.580000	0.127500;	
641	10866	179.110000	0.122500;	
642	10867	747.120000	0.127500;	
643	10868	495.670000	0.125000;	
644	10869	687.780000	0.127500;	
645	10870	327.620000	0.125000;	
646	10871	1333.960000	0.125000;	
647	10872	36.120000	0.120000;	
648	10873	185.040000	0.125000;	
649	10874	869.220000	0.127500;	
650	10875	889.870000	0.125000;	
651	10876	335.380000	0.125000;	
652	10877	554.410000	0.125000;	
653	10878	764.680000	0.125000;	
654	10879	890.110000	0.125000;	
655	10880	1066.220000	0.127500;	
656	10881	1022.750000	0.127500;	
657	10882	773.710000	0.127500;	
658	10883	623.510000	0.122500;	
659	10884	491.900000	0.125000;	
660	10885	451.340000	0.125000;	
661	10886	1025.580000	0.127500;	
662	10887	10.060000	0.125000;	
663	10888	488.430000	0.122500;	
664	10889	303.230000	0.122500;	
665	10890	317.010000	0.125000;	
666	10891	470.670000	0.125000;	
667	10892	1109.070000	0.127500;	
668	10893	414.930000	0.125000;	
669	10894	15.380000	0.122500;	
670	10895	805.000000	0.125000;	
671	10896	327.610000	0.125000;	
672	10897	794.220000	0.125000;	
673	10898	112.090000	0.127500;	
674	10899	234.990000	0.122500;	
675	10900	56.200000	0.125000;	
676	10901	682.360000	0.125000;	
677	10902	216.610000	0.125000;	
678	10903	127.600000	0.125000;	
679	10904	175.910000	0.125000;	
680	10905	517.770000	0.125000;	
681	10906	151.910000	0.125000;	
682	10907	815.920000	0.127500;	
683	10908	206.140000	0.125000;	
684	10909	217.500000	0.125000;	
685	10910	324.500000	0.125000;	
686	10911	260.990000	0.125000;	
687	10912	1001.940000	0.125000;	
688	10913	1100.110000	0.125000;	
689	10914	70.680000	0.250000;	
690	10915	646.220000	0.250000;	
691	11193	725.950000	0.125000;	
692	11195	736.270000	0.125000;	
693	10916	747.330000	0.125000;	
694	11194	701.900000	0.125000;	
695	10920	0.400000	0.250000;	
696	10921	173.960000	0.250000;	
697	10917	1888.780000	0.250000;	
698	10926	256.570000	0.250000;	
699	10927	556.460000	0.252500;	
700	10928	1179.200000	0.250000;	
701	10929	511.530000	0.250000;	
702	10930	100.310000	0.127500;	
703	2289	467.010000	0.125000;	
704	10931	695.800000	0.252500;	
705	2288	526.590000	0.125000;	
706	2290	1225.560000	0.125000;	
707	10932	435.580000	0.250000;	
708	10933	1477.280000	0.252500;	
709	10934	2537.450000	0.255000;	
710	10935	235.650000	0.250000;	
711	10936	766.450000	0.252500;	
712	10937	1172.980000	0.252500;	
713	11196	853.810000	0.125000;	
714	11768	696.350000	0.125000;	
715	10939	1138.550000	0.125000;	
716	10940	1068.920000	0.125000;	
717	10941	769.000000	0.125000;	
718	10942	141.650000	0.125000;	
719	10938	2123.290000	0.125000;	
720	11197	763.830000	0.125000;	
721	10943	1073.990000	0.125000;	
722	10944	787.910000	0.125000;	
723	10945	883.810000	0.125000;	
724	10946	598.370000	0.125000;	
725	10947	640.090000	0.125000;	
726	10948	814.000000	0.125000;	
727	10949	617.030000	0.125000;	
728	10950	709.410000	0.125000;	
729	11769	864.990000	0.125000;	
730	11771	259.820000	0.125000;	
731	10952	493.000000	0.125000;	
732	10953	843.750000	0.125000;	
733	10954	823.090000	0.125000;	
734	10955	263.480000	0.125000;	
735	10951	529.570000	0.125000;	
736	11770	1657.570000	0.125000;	
737	10956	1067.890000	0.125000;	
738	10957	910.390000	0.125000;	
739	10958	468.440000	0.125000;	
740	10959	1005.210000	0.125000;	
741	10964	583.070000	0.125000;	
742	9090	511.160000	0.125000;	
743	10960	759.000000	0.125000;	
744	10961	962.280000	0.125000;	
745	10962	712.970000	0.125000;	
746	10963	815.080000	0.125000;	
747	3900	830.860000	0.125000;	
748	10278	146.480000	0.125000;	
749	10965	1021.500000	0.100000;	
750	11772	1519.930000	0.130000;	
751	10966	724.980000	0.130000;	
752	10967	657.050000	0.127500;	
753	10968	459.190000	0.125000;	
754	10969	713.250000	0.125000;	
755	10970	290.050000	0.225000;	
756	10971	451.550000	0.127500;	
757	10972	1513.060000	0.125000;	
758	10973	1335.680000	0.125000;	
759	10974	811.600000	0.125000;	
760	10975	505.840000	0.127500;	
761	10976	1284.020000	0.125000;	
762	10977	1250.680000	0.125000;	
763	10978	1195.470000	0.125000;	
764	10979	1570.840000	0.227500;	
765	10980	546.680000	0.125000;	
766	10981	1410.130000	0.127500;	
767	10982	679.430000	0.125000;	
768	10983	570.060000	0.125000;	
769	10984	780.090000	0.127500;	
770	10985	1082.480000	0.130000;	
771	10986	1921.110000	0.127500;	
772	10987	288.710000	0.127500;	
773	10988	458.920000	0.250000;	
774	10989	1364.110000	0.250000;	
775	9347	746.280000	0.125000;	
776	10990	1690.610000	0.125000;	
777	9012	600.920000	0.125000;	
778	3844	1386.160000	0.125000;	
779	10991	1558.460000	0.250000;	
780	10992	249.610000	0.125000;	
781	10993	571.350000	0.122500;	
782	10994	781.390000	0.125000;	
783	10995	846.230000	0.125000;	
784	10996	362.640000	0.125000;	
785	10997	576.940000	0.125000;	
786	10998	1664.990000	0.125000;	
787	10999	591.390000	0.125000;	
788	11000	601.330000	0.250000;	
789	11773	327.850000	0.127500;	
790	11775	634.110000	0.125000;	
791	11002	741.300000	0.125000;	
792	11003	914.110000	0.125000;	
793	11001	90.910000	0.125000;	
794	11774	2213.620000	0.125000;	
795	11004	432.480000	0.125000;	
796	11005	826.690000	0.125000;	
797	11006	2029.830000	0.197500;	
798	11007	441.160000	0.110000;	
799	10280	466.480000	0.105000;	
800	11776	81.210000	0.102500;	
801	11778	702.950000	0.097500;	
802	3872	382.250000	0.090000;	
803	12036	569.850000	0.087500;	
804	11008	527.700000	0.090000;	
805	11777	440.370000	0.090000;	
